k,P_k
2.4945081352303164,0.006474254417120893
2.643081486974108,0.006075447134949077
2.800503894183631,0.005698536377884925
2.9673024081888726,0.00534219905478806
3.1440354715915,0.005005188950624779
3.331294787934677,0.004686332833570645
3.52970730273065,0.004384526904814449
3.7399373024788014,0.004098733588906891
3.9626886387014784,0.003827978664003687
4.198707084443915,0.003571348732475649
4.448782831127585,0.0033279890329183624
4.713753134116729,0.003097101594348016
4.99450511585514,0.0028779437320100225
5.291978735958447,0.0026698268813592956
5.607169938205458,0.002472115761915466
5.94113398496504,0.002284227855272624
6.294988990221888,0.002105633170885473
6.669919663030129,0.0019358542586205244
7.067181273927491,0.001774466407689904
7.488103857590031,0.0016210979467648837
7.934096665797492,0.0014754305292756374
8.406652885618334,0.0013371992510043016
8.907354638610439,0.001206192404603689
9.437878277775392,0.0010822506292020482
10.0,0.0009652651658910674
