z,Q,w_eff
3.901058e+00,-1.157915e+02,-9.135351e-01
4.029122e+00,-1.206509e+02,-9.138179e-01
4.161391e+00,-1.257184e+02,-9.141253e-01
4.298001e+00,-1.309977e+02,-9.144596e-01
4.439097e+00,-1.364918e+02,-9.148233e-01
4.584824e+00,-1.422024e+02,-9.152189e-01
4.735335e+00,-1.481297e+02,-9.156495e-01
4.890787e+00,-1.542724e+02,-9.161181e-01
5.051342e+00,-1.606269e+02,-9.166284e-01
5.217169e+00,-1.671873e+02,-9.171840e-01
5.388438e+00,-1.739445e+02,-9.177892e-01
5.565331e+00,-1.808861e+02,-9.184485e-01
5.748030e+00,-1.879953e+02,-9.191669e-01
5.936727e+00,-1.952507e+02,-9.199496e-01
6.131619e+00,-2.026249e+02,-9.208027e-01
6.332908e+00,-2.100838e+02,-9.217325e-01
6.540806e+00,-2.175855e+02,-9.227461e-01
6.755528e+00,-2.250790e+02,-9.238510e-01
6.977300e+00,-2.325027e+02,-9.250556e-01
7.206351e+00,-2.397828e+02,-9.263688e-01
7.442922e+00,-2.468313e+02,-9.278005e-01
7.687260e+00,-2.535440e+02,-9.293613e-01
7.939618e+00,-2.597982e+02,-9.310627e-01
8.200261e+00,-2.654498e+02,-9.329172e-01
8.469460e+00,-2.703306e+02,-9.349384e-01
8.747496e+00,-2.742445e+02,-9.371409e-01
9.034660e+00,-2.769644e+02,-9.395405e-01
9.331251e+00,-2.782280e+02,-9.421541e-01
9.637579e+00,-2.777330e+02,-9.450001e-01
9.953962e+00,-2.751331e+02,-9.480981e-01
1.028073e+01,-2.700321e+02,-9.514691e-01
1.061823e+01,-2.619792e+02,-9.551357e-01
1.096681e+01,-2.504631e+02,-9.591216e-01
1.132683e+01,-2.349062e+02,-9.634522e-01
1.169866e+01,-2.146592e+02,-9.681545e-01
1.208271e+01,-1.889951e+02,-9.732568e-01
1.247936e+01,-1.571044e+02,-9.787886e-01
1.288904e+01,-1.180907e+02,-9.847810e-01
1.331216e+01,-7.096691e+01,-9.912661e-01
1.374917e+01,-1.465370e+01,-9.982769e-01
1.420053e+01,5.202064e+01,-1.005847e+00
1.466671e+01,1.303177e+02,-1.014012e+00
1.514819e+01,2.215830e+02,-1.022805e+00
1.564548e+01,3.272368e+02,-1.032260e+00
1.615909e+01,4.487597e+02,-1.042412e+00
1.668956e+01,5.876734e+02,-1.053291e+00
1.723745e+01,7.455157e+02,-1.064927e+00
1.780332e+01,9.238084e+02,-1.077349e+00
1.838777e+01,1.124020e+03,-1.090579e+00
1.899141e+01,1.347519e+03,-1.104637e+00
1.961486e+01,1.595526e+03,-1.119537e+00
2.025878e+01,1.869052e+03,-1.135286e+00
2.092383e+01,2.168842e+03,-1.151887e+00
2.161073e+01,2.495307e+03,-1.169330e+00
2.232016e+01,2.848466e+03,-1.187603e+00
2.305289e+01,3.227880e+03,-1.206679e+00
2.380968e+01,3.632607e+03,-1.226523e+00
2.459130e+01,4.061150e+03,-1.247093e+00
2.539859e+01,4.511438e+03,-1.268332e+00
2.623238e+01,4.980811e+03,-1.290177e+00
2.709354e+01,5.466032e+03,-1.312554e+00
2.798297e+01,5.963323e+03,-1.335381e+00
2.890160e+01,6.468422e+03,-1.358567e+00
2.985038e+01,6.976667e+03,-1.382017e+00
3.083031e+01,7.483091e+03,-1.405629e+00
3.184242e+01,7.982548e+03,-1.429300e+00
3.288774e+01,8.469842e+03,-1.452925e+00
3.396739e+01,8.939860e+03,-1.476399e+00
3.508247e+01,9.387709e+03,-1.499620e+00
3.623416e+01,9.808845e+03,-1.522492e+00
3.742366e+01,1.019918e+04,-1.544922e+00
