n,beta,viable,reason,z_t,Qtilde_max,Qtilde_min,E2_min
0.21000000000000002,2.053525026457146e-06,True,viable,1.2507875543089664,-0.09864891511762004,-2.4181476911249415,0.9999999999999999
0.21000000000000002,4.216965034285822e-06,True,viable,1.2507788973770602,-0.0986486101095259,-2.4170968649647246,0.9999999999999999
0.21000000000000002,8.659643233600654e-06,True,viable,1.2507611207598568,-0.09864798377190893,-2.414939774798856,0.9999999999999999
0.21000000000000002,1.778279410038923e-05,True,viable,1.2507246185487166,-0.09864669758938556,-2.410513539688762,0.9999999999999999
0.21000000000000002,3.651741272548377e-05,True,viable,1.250649671114229,-0.09864405645496067,-2.40143848798163,0.9999999999999999
0.21000000000000002,7.498942093324559e-05,True,viable,1.2504958099718466,-0.09863863312956558,-2.38286291301551,0.9999999999999999
0.21000000000000002,0.0001539926526059492,True,viable,1.2501800430838537,-0.09862749750325275,-2.344970197529501,0.9999999999999999
0.21000000000000002,0.00031622776601683794,True,viable,1.2495324111008363,-0.09860463573065671,-2.2682095845209354,0.9999999999999999
0.21000000000000002,0.0006493816315762113,True,viable,1.2482058573437407,-0.09855771175052506,-2.11491387771726,0.9999999999999999
0.21000000000000002,0.001333521432163324,True,viable,1.2454958696655003,-0.09846145007841584,-1.8175133776387586,0.9999999999999999
0.21000000000000002,0.0027384196342643613,True,viable,1.2399894864389513,-0.09826418615006259,-1.2763276388564837,0.9999999999999999
0.21000000000000002,0.005623413251903491,True,viable,1.228958538591118,-0.09786082779567278,-0.775219997439578,0.9999999999999999
0.21000000000000002,0.011547819846894581,False,Q_positive,,,,
0.21000000000000002,0.023713737056616554,False,Q_positive,,,,
0.21000000000000002,0.04869675251658631,False,Q_positive,,,,
0.21000000000000002,0.1,False,Q_positive,,,,
0.2366666666666667,1e-06,True,viable,1.3650858257107261,-0.10671972823159108,-2.8865542546388103,0.9999999999999999
0.2366666666666667,2.053525026457146e-06,True,viable,1.3650807473764754,-0.10671958565552234,-2.8860545196034044,0.9999999999999999
0.2366666666666667,4.216965034285822e-06,True,viable,1.3650703190802458,-0.10671929287293887,-2.8850284648218434,0.9999999999999999
0.2366666666666667,8.659643233600654e-06,True,viable,1.3650489051153822,-0.1067186916405482,-2.8829221254211186,0.9999999999999999
0.2366666666666667,1.778279410038923e-05,True,viable,1.3650049343028112,-0.10671745701153597,-2.8785996118156905,0.9999999999999999
0.2366666666666667,3.651741272548377e-05,True,viable,1.3649146533059773,-0.10671492174058732,-2.869735466380124,0.9999999999999999
0.2366666666666667,7.498942093324559e-05,True,viable,1.3647293185637273,-0.10670971579605466,-2.851584230293726,0.9999999999999999
0.2366666666666667,0.0001539926526059492,True,viable,1.3643489798843693,-0.10669902651435059,-2.8145263362753625,0.9999999999999999
0.2366666666666667,0.00031622776601683794,True,viable,1.3635690006212846,-0.10667708110053475,-2.739329094950491,0.9999999999999999
0.2366666666666667,0.0006493816315762113,True,viable,1.361971727685602,-0.10663203795449044,-2.5886345447740142,0.9999999999999999
0.2366666666666667,0.001333521432163324,True,viable,1.3587102303334653,-0.10653963469834889,-2.2942279141773643,0.9999999999999999
0.2366666666666667,0.0027384196342643613,True,viable,1.3521614905795412,-0.10635027761676373,-1.7478378139409023,0.9999999999999999
0.2366666666666667,0.005623413251903491,True,viable,1.3390817478050177,-0.10596308690502104,-1.0552617257830899,0.9999999999999999
0.2366666666666667,0.011547819846894581,False,Q_positive,,,,
0.2366666666666667,0.023713737056616554,False,Q_positive,,,,
0.2366666666666667,0.04869675251658631,False,Q_positive,,,,
0.2366666666666667,0.1,False,Q_positive,,,,
0.26333333333333336,1e-06,True,viable,1.4940065992393687,-0.11416834020501535,-3.3697115045194233,0.9999999999999999
0.26333333333333336,2.053525026457146e-06,True,viable,1.4940004892220167,-0.11416820312352607,-3.3692317239047886,0.9999999999999999
0.26333333333333336,4.216965034285822e-06,True,viable,1.4939879423999132,-0.11416792162416275,-3.3682466181780253,0.9999999999999999
0.26333333333333336,8.659643233600654e-06,True,viable,1.4939621782469752,-0.11416734356199398,-3.3662242512998706,0.9999999999999999
0.26333333333333336,1.778279410038923e-05,True,viable,1.4939092752534733,-0.11416615651296678,-3.362073682863691,0.9999999999999999
0.26333333333333336,3.651741272548377e-05,True,viable,1.4938006563269326,-0.11416371894598645,-3.353560550128767,0.9999999999999999
0.26333333333333336,7.498942093324559e-05,True,viable,1.4935776831675804,-0.11415871362752092,-3.3361213891009753,0.9999999999999999
0.26333333333333336,0.0001539926526059492,True,viable,1.493120132989623,-0.1141484362880754,-3.300489230227873,0.9999999999999999
0.26333333333333336,0.00031622776601683794,True,viable,1.4921819341273723,-0.11412733660398983,-3.228068468506399,0.9999999999999999
0.26333333333333336,0.0006493816315762113,True,viable,1.4902611628944176,-0.11408402932531511,-3.082460521754198,0.9999999999999999
0.26333333333333336,0.001333521432163324,True,viable,1.4863412295923548,-0.113995187094796,-2.7960951267187957,0.9999999999999999
0.26333333333333336,0.0027384196342643613,True,viable,1.4784492733292103,-0.11381312743375069,-2.2575424810759492,0.9999999999999999
0.26333333333333336,0.005623413251903491,True,viable,1.4627602284893144,-0.11344085823130172,-1.41560085885025,0.9999999999999999
0.26333333333333336,0.011547819846894581,False,Q_positive,,,,
0.26333333333333336,0.023713737056616554,False,Q_positive,,,,
0.26333333333333336,0.04869675251658631,False,Q_positive,,,,
0.26333333333333336,0.1,False,Q_positive,,,,
0.29000000000000004,1e-06,True,viable,1.6403063719532174,-0.1210641486227541,-3.854883103669441,0.9999999999999999
0.29000000000000004,2.053525026457146e-06,True,viable,1.6402989206447744,-0.12106401662806052,-3.854430770716139,0.9999999999999999
0.29000000000000004,4.216965034285822e-06,True,viable,1.6402836195359871,-0.12106374557452587,-3.853502002746213,0.9999999999999999
0.29000000000000004,8.659643233600654e-06,True,viable,1.640252199757857,-0.12106318896298598,-3.851595214285457,0.9999999999999999
0.29000000000000004,1.778279410038923e-05,True,viable,1.6401876842872951,-0.12106204596276449,-3.847681514703304,0.9999999999999999
0.29000000000000004,3.651741272548377e-05,True,viable,1.6400552253632557,-0.12105969884858923,-3.8396528013538354,0.9999999999999999
0.29000000000000004,7.498942093324559e-05,True,viable,1.6397833234700767,-0.12105487926659748,-3.82320001730377,0.9999999999999999
0.29000000000000004,0.0001539926526059492,True,viable,1.6392254118533998,-0.12104498329684935,-3.789558283128164,0.9999999999999999
0.29000000000000004,0.00031622776601683794,True,viable,1.6380816014767383,-0.12102466657611506,-3.721078985847923,0.9999999999999999
0.29000000000000004,0.0006493816315762113,True,viable,1.6357406268757413,-0.12098296633629026,-3.582968202219353,0.9999999999999999
0.29000000000000004,0.001333521432163324,True,viable,1.6309947741173925,-0.1208974208475736,-3.3096359757871663,0.9999999999999999
0.29000000000000004,0.0027384196342643613,True,viable,1.6214511421411741,-0.12072211702428247,-2.789098467740526,0.9999999999999999
0.29000000000000004,0.005623413251903491,True,viable,1.6024652004991617,-0.12036366192166313,-1.8774541330931958,0.9999999999999999
0.29000000000000004,0.011547819846894581,True,viable,1.5661110503485063,-0.11963397593867513,-1.0786630687294028,0.9999999999999999
0.29000000000000004,0.023713737056616554,False,Q_positive,,,,
0.29000000000000004,0.04869675251658631,False,Q_positive,,,,
0.29000000000000004,0.1,False,Q_positive,,,,
0.31666666666666665,1e-06,True,viable,1.8074318031099832,-0.12746649158717532,-4.326689718819636,0.9999999999999999
0.31666666666666665,2.053525026457146e-06,True,viable,1.8074227175647317,-0.1274663643152653,-4.326271503892215,0.9999999999999999
0.31666666666666665,4.216965034285822e-06,True,viable,1.807404060630195,-0.1274661029600537,-4.325412773508875,0.9999999999999999
0.31666666666666665,8.659643233600654e-06,True,viable,1.807365750011235,-0.12746556626413136,-4.323649705114044,0.9999999999999999
0.31666666666666665,1.778279410038923e-05,True,viable,1.8072870862851662,-0.12746446416057405,-4.32003070058575,0.9999999999999999
0.31666666666666665,3.651741272548377e-05,True,viable,1.8071255822976457,-0.12746220102638273,-4.312605307768188,0.9999999999999999
0.31666666666666665,7.498942093324559e-05,True,viable,1.806794072862718,-0.12745755388952493,-4.2973837077467,0.9999999999999999
0.31666666666666665,0.0001539926526059492,True,viable,1.8061139123830452,-0.12744801199858102,-4.2662377555915585,0.9999999999999999
0.31666666666666665,0.00031622776601683794,True,viable,1.804719719593629,-0.12742842221218134,-4.202748297164949,0.9999999999999999
0.31666666666666665,0.0006493816315762113,True,viable,1.8018673376237613,-0.1273882140111794,-4.074327926605145,0.9999999999999999
0.31666666666666665,0.001333521432163324,True,viable,1.7960542238659352,-0.1273057293487511,-3.8186680795571797,0.9999999999999999
0.31666666666666665,0.0027384196342643613,True,viable,1.7842995966635307,-0.12713669791409,-3.3259838817533973,0.9999999999999999
0.31666666666666665,0.005623413251903491,True,viable,1.7611669825290253,-0.126791068371506,-2.4373366372687935,0.9999999999999999
0.31666666666666665,0.011547819846894581,True,viable,1.717145669424105,-0.12608749062721616,-1.3887369029052614,0.9999999999999999
0.31666666666666665,0.023713737056616554,False,Q_positive,,,,
0.31666666666666665,0.04869675251658631,False,Q_positive,,,,
0.31666666666666665,0.1,False,Q_positive,,,,
0.3433333333333333,1e-06,True,viable,1.9997915574054088,-0.13342650807291614,-4.768421335888222,0.9999999999999999
0.3433333333333333,2.053525026457146e-06,True,viable,1.999780213853403,-0.133426385197501,-4.768042666328193,0.9999999999999999
0.3433333333333333,4.216965034285822e-06,True,viable,1.9997569202320873,-0.13342613287057256,-4.767265121524501,0.9999999999999999
0.3433333333333333,8.659643233600654e-06,True,viable,1.9997090888036364,-0.13342561471433315,-4.765668677711794,0.9999999999999999
0.3433333333333333,1.778279410038923e-05,True,viable,1.999610877124405,-0.1334245506819623,-4.7623914530579174,0.9999999999999999
0.3433333333333333,3.651741272548377e-05,True,viable,1.9994092446067482,-0.13342236572572735,-4.755666279986947,0.9999999999999999
0.3433333333333333,7.498942093324559e-05,True,viable,1.9989953878710376,-0.13341787912007613,-4.74187572537201,0.9999999999999999
0.3433333333333333,0.0001539926526059492,True,viable,1.9981463677650066,-0.1334086668452622,-4.7136396160289085,0.9999999999999999
0.3433333333333333,0.00031622776601683794,True,viable,1.9964064386660505,-0.13338975377059792,-4.656005159603898,0.9999999999999999
0.3433333333333333,0.0006493816315762113,True,viable,1.9928483378009472,-0.13335093452611252,-4.539110603750646,0.9999999999999999
0.3433333333333333,0.001333521432163324,True,viable,1.9856037186969073,-0.13327129922293285,-4.305107560622448,0.9999999999999999
0.3433333333333333,0.0027384196342643613,True,viable,1.9711315246791143,-0.13310810682873672,-3.8491187957022213,0.9999999999999999
0.3433333333333333,0.005623413251903491,True,viable,1.942618078295853,-0.13277441675107587,-3.008437743158927,0.9999999999999999
0.3433333333333333,0.011547819846894581,True,viable,1.888801409253219,-0.1320951434737475,-1.7753592385057995,0.9999999999999999
0.3433333333333333,0.023713737056616554,False,Q_positive,,,,
0.3433333333333333,0.04869675251658631,False,Q_positive,,,,
0.3433333333333333,0.1,False,Q_positive,,,,
0.37,1e-06,False,no_transition,,,,
0.37,2.053525026457146e-06,False,no_transition,,,,
0.37,4.216965034285822e-06,False,no_transition,,,,
0.37,8.659643233600654e-06,False,no_transition,,,,
0.37,1.778279410038923e-05,False,no_transition,,,,
0.37,3.651741272548377e-05,False,no_transition,,,,
0.37,7.498942093324559e-05,False,no_transition,,,,
0.37,0.0001539926526059492,False,no_transition,,,,
0.37,0.00031622776601683794,False,no_transition,,,,
0.37,0.0006493816315762113,False,no_transition,,,,
0.37,0.001333521432163324,False,no_transition,,,,
0.37,0.0027384196342643613,False,no_transition,,,,
0.37,0.005623413251903491,False,no_transition,,,,
0.37,0.011547819846894581,False,no_transition,,,,
0.37,0.023713737056616554,True,viable,1.9702031043075285,-0.13637709612167095,-1.227242633916455,0.9999999999999999
0.37,0.04869675251658631,False,Q_positive,,,,
0.37,0.1,False,Q_positive,,,,
0.39666666666666667,1e-06,False,no_transition,,,,
0.39666666666666667,2.053525026457146e-06,False,no_transition,,,,
0.39666666666666667,4.216965034285822e-06,False,no_transition,,,,
0.39666666666666667,8.659643233600654e-06,False,no_transition,,,,
0.39666666666666667,1.778279410038923e-05,False,no_transition,,,,
