z,E,H,Omega_m,Omega_Lambda,Omega_r
2.063618e-01,1.123894e+00,7.758237e+01,4.169688e-01,5.828803e-01,1.509046e-04
2.131362e-01,1.128352e+00,7.789011e+01,4.206889e-01,5.791580e-01,1.531059e-04
2.201331e-01,1.132982e+00,7.820974e+01,4.245188e-01,5.753258e-01,1.553908e-04
2.273597e-01,1.137792e+00,7.854178e+01,4.284608e-01,5.713814e-01,1.577627e-04
2.348235e-01,1.142789e+00,7.888674e+01,4.325174e-01,5.673224e-01,1.602248e-04
2.425323e-01,1.147982e+00,7.924520e+01,4.366909e-01,5.631464e-01,1.627807e-04
2.504942e-01,1.153379e+00,7.961773e+01,4.409836e-01,5.588510e-01,1.654342e-04
2.587174e-01,1.158988e+00,8.000495e+01,4.453977e-01,5.544341e-01,1.681890e-04
2.672106e-01,1.164820e+00,8.040750e+01,4.499355e-01,5.498934e-01,1.710489e-04
2.759826e-01,1.170883e+00,8.082605e+01,4.545991e-01,5.452268e-01,1.740182e-04
2.850426e-01,1.177188e+00,8.126130e+01,4.593905e-01,5.404324e-01,1.771009e-04
2.944000e-01,1.183746e+00,8.171401e+01,4.643116e-01,5.355081e-01,1.803015e-04
3.040646e-01,1.190568e+00,8.218493e+01,4.693642e-01,5.304521e-01,1.836244e-04
3.140465e-01,1.197666e+00,8.267489e+01,4.745500e-01,5.252629e-01,1.870742e-04
3.243561e-01,1.205052e+00,8.318474e+01,4.798705e-01,5.199389e-01,1.906558e-04
3.350041e-01,1.212739e+00,8.371537e+01,4.853269e-01,5.144787e-01,1.943740e-04
3.460016e-01,1.220741e+00,8.426773e+01,4.909206e-01,5.088812e-01,1.982340e-04
3.573602e-01,1.229071e+00,8.484279e+01,4.966523e-01,5.031455e-01,2.022408e-04
3.690917e-01,1.237746e+00,8.544160e+01,5.025229e-01,4.972707e-01,2.064000e-04
3.812083e-01,1.246780e+00,8.606524e+01,5.085328e-01,4.912565e-01,2.107169e-04
3.937226e-01,1.256191e+00,8.671484e+01,5.146822e-01,4.851026e-01,2.151973e-04
4.066478e-01,1.265995e+00,8.739161e+01,5.209711e-01,4.788090e-01,2.198469e-04
4.199973e-01,1.276210e+00,8.809679e+01,5.273991e-01,4.723763e-01,2.246716e-04
4.337850e-01,1.286857e+00,8.883171e+01,5.339654e-01,4.658050e-01,2.296775e-04
4.480254e-01,1.297954e+00,8.959774e+01,5.406689e-01,4.590962e-01,2.348707e-04
4.627332e-01,1.309522e+00,9.039633e+01,5.475084e-01,4.522514e-01,2.402576e-04
4.779239e-01,1.321585e+00,9.122900e+01,5.544818e-01,4.452723e-01,2.458446e-04
4.936132e-01,1.334164e+00,9.209736e+01,5.615871e-01,4.381613e-01,2.516382e-04
5.098176e-01,1.347285e+00,9.300307e+01,5.688214e-01,4.309210e-01,2.576450e-04
5.265540e-01,1.360972e+00,9.394788e+01,5.761817e-01,4.235544e-01,2.638717e-04
5.438397e-01,1.375252e+00,9.493366e+01,5.836644e-01,4.160652e-01,2.703253e-04
5.616930e-01,1.390154e+00,9.596231e+01,5.912655e-01,4.084575e-01,2.770126e-04
5.801323e-01,1.405706e+00,9.703589e+01,5.989804e-01,4.007357e-01,2.839405e-04
5.991770e-01,1.421940e+00,9.815650e+01,6.068040e-01,3.929049e-01,2.911161e-04
