n,beta,viable,z_t,Qtilde_max_z0_5
0.2,0.046415888336127725,True,1.0745914433942456,2.016567457896601
0.2,0.1,True,0.9726676771708685,1.582031400956391
0.22500000000000003,1e-06,True,1.3135376163663572,-0.10326984305418163
0.22500000000000003,2.1544346900318822e-06,True,1.3135324547871075,-0.10326968403316904
0.22500000000000003,4.641588833612782e-06,True,1.3135213347207912,-0.10326934143403069
0.22500000000000003,9.999999999999999e-06,True,1.313497378280984,-0.10326860333235305
0.22500000000000003,2.1544346900318823e-05,True,1.3134457704150213,-0.10326701316737201
0.22500000000000003,4.641588833612772e-05,True,1.313334606535743,-0.1032635873855257
0.22500000000000003,0.0001,True,1.3130952127940367,-0.1032562073412691
0.22500000000000003,0.00021544346900318823,True,1.3125799254596524,-0.10324031020483858
0.22500000000000003,0.00046415888336127773,True,1.3114719517779883,-0.1032060733290563
0.22500000000000003,0.001,True,1.3090949477803357,-0.10313237002814356
0.22500000000000003,0.002154434690031882,True,1.304110419352,-0.10297384890000394
0.22500000000000003,0.004641588833612777,True,1.2935884018840476,-0.10263356342428372
0.22500000000000003,0.01,True,1.2719400951028512,0.3219870533031909
0.22500000000000003,0.021544346900318822,True,1.2298356306058638,1.5612181056275138
0.22500000000000003,0.046415888336127725,True,1.1549927474464459,2.066632838283911
0.22500000000000003,0.1,True,1.0396565366302972,1.7074535274471245
0.25,1e-06,True,1.4276824535406596,-0.1105172076213426
0.25,2.1544346900318822e-06,True,1.427676398208828,-0.1105170544585231
0.25,4.641588833612782e-06,True,1.4276633526705425,-0.11051672448043327
0.25,9.999999999999999e-06,True,1.4276352482037487,-0.11051601356976706
0.25,2.1544346900318823e-05,True,1.4275747049682377,-0.11051448198505415
0.25,4.641588833612772e-05,True,1.427444296375006,-0.11051118240597381
0.25,0.0001,True,1.4271634687773342,-0.11050407423600475
0.25,0.00021544346900318823,True,1.4265590428971036,-0.11048876273598643
0.25,0.00046415888336127773,True,1.4252596178723,-0.11045578711635466
0.25,0.001,True,1.422472869127564,-0.11038479897970452
0.25,0.002154434690031882,True,1.4165274772831313,-0.11023211762938576
0.25,0.004641588833612777,True,1.4039818660099004,-0.10990436796890476
0.25,0.01,True,1.3785566925623507,-0.06523015990655011
0.25,0.021544346900318822,True,1.3293537918905773,1.3502854995095894
0.25,0.046415888336127725,True,1.2429770965477505,2.0779153658110743
0.25,0.1,True,1.1121919348078868,1.8260370901933463
0.275,1e-06,True,1.5558429098490252,-0.11724957139057496
0.275,2.1544346900318822e-06,True,1.5558356269408806,-0.11724942366966294
0.275,4.641588833612782e-06,True,1.55581993675804,-0.11724910541576455
0.275,9.999999999999999e-06,True,1.555786134987596,-0.11724841976390496
0.275,2.1544346900318823e-05,True,1.5557133191876145,-0.11724694259672148
0.275,4.641588833612772e-05,True,1.5555564789902998,-0.11724376025238512
0.275,0.0001,True,1.555218747195639,-0.11723690463720145
0.275,0.00021544346900318823,True,1.5544919147111682,-0.11722213715802367
0.275,0.00046415888336127773,True,1.552929649670555,-0.11719033316914572
0.275,0.001,True,1.5495806621995787,-0.1171218672560349
0.275,0.002154434690031882,True,1.5424423103991627,-0.11697461070644986
0.275,0.004641588833612777,True,1.527611248318859,-0.11665850606086388
0.275,0.01,True,1.4974019894832205,-0.11598276938569174
0.275,0.021544346900318822,True,1.4395846889340884,1.0676953014039046
0.275,0.046415888336127725,True,1.3395118908628076,2.040486666201454
0.275,0.1,True,1.1908626775744047,1.9322430311111525
0.3,1e-06,True,1.7004923035425004,-0.12351994514016675
0.3,2.1544346900318822e-06,True,1.7004834915924478,-0.12351980248772612
0.3,4.641588833612782e-06,True,1.7004645073108928,-0.12351949515347868
0.3,9.999999999999999e-06,True,1.7004236091872666,-0.12351883302710932
0.3,2.1544346900318823e-05,True,1.7003355073907391,-0.12351740654320144
0.3,4.641588833612772e-05,True,1.700145746727108,-0.12351433338869593
0.3,0.0001,True,1.6997371465763624,-0.12350771299741738
0.3,0.00021544346900318823,True,1.6988578951573816,-0.12349345220714034
0.3,0.00046415888336127773,True,1.6969684652163894,-0.12346273944906559
0.3,0.001,True,1.692920189312429,-0.12339662267881359
0.3,0.002154434690031882,True,1.6843474375807912,-0.1232544186678737
0.3,0.004641588833612777,True,1.6665816139968626,-0.12294915992993834
0.3,0.01,True,1.6305570522125576,-0.12229660854380695
0.3,0.021544346900318822,True,1.5622371703525297,0.7111513960132982
0.3,0.046415888336127725,True,1.4458567812262657,1.9442692827359496
0.3,0.1,True,1.276353648409624,2.0193309465344718
0.325,1e-06,True,1.8647847528036934,-0.1293743055571636
0.325,2.1544346900318822e-06,True,1.8647740214311928,-0.12937416763692233
0.325,4.641588833612782e-06,True,1.864750902050565,-0.12937387049785226
0.325,9.999999999999999e-06,True,1.864701095919989,-0.12937323033615425
0.325,2.1544346900318823e-05,True,1.8645938060891591,-0.12937185117289643
0.325,4.641588833612772e-05,True,1.8643627231544717,-0.12936887996392865
0.325,0.0001,True,1.8638651761298641,-0.12936247919042324
0.325,0.00021544346900318823,True,1.8627946614798214,-0.1293486914723366
0.325,0.00046415888336127773,True,1.8604948619598054,-0.12931899754642004
0.325,0.001,True,1.855570248776993,-0.12925507406312597
0.325,0.002154434690031882,True,1.8451881519640412,-0.1291175873758148
0.325,0.004641588833612777,True,1.8236611884244334,-0.1288224549644704
0.325,0.01,True,1.7803432897362028,-0.12819155061946255
0.325,0.021544346900318822,True,1.699137713056461,0.28247239450285105
0.325,0.046415888336127725,True,1.5631769318059494,1.7798517940501315
0.325,0.1,True,1.3694470329281052,2.0793451800514955
0.35000000000000003,1e-06,False,2.0526069955697195,-0.13485272448401373
0.35000000000000003,2.1544346900318822e-06,False,2.0525938342170837,-0.13485259099209065
0.35000000000000003,4.641588833612782e-06,False,2.052565479845237,-0.13485230339350804
0.35000000000000003,9.999999999999999e-06,False,2.0525043963931817,-0.13485168378600604
0.35000000000000003,2.1544346900318823e-05,False,2.052372815530403,-0.13485034890467257
0.35000000000000003,4.641588833612772e-05,False,2.0520894233712275,-0.13484747309474476
0.35000000000000003,0.0001,False,2.051479291807364,-0.13484127783611702
0.35000000000000003,0.00021544346900318823,False,2.0501667408334314,-0.13482793281158817
0.35000000000000003,0.00046415888336127773,False,2.047347888590449,-0.13479919229287257
0.35000000000000003,0.001,False,2.0413160055856636,-0.13473732125321483
0.35000000000000003,0.002154434690031882,False,2.028507926450409,-0.13460424896358517
0.35000000000000003,0.004641588833612777,False,2.0022597643180746,-0.13431859261030765
0.35000000000000003,0.01,True,1.9497412135932144,-0.13370794522786345
0.35000000000000003,0.021544346900318822,True,1.8525383347700581,-0.13241411360719024
0.35000000000000003,0.046415888336127725,True,1.693033984859723,1.5395929159681383
0.35000000000000003,0.1,True,1.4710591929859462,2.1032179653888368
0.375,1e-06,False,2.2687565577293785,-0.13999028738696098
0.375,2.1544346900318822e-06,False,2.268740291901582,-0.13999015804783516
0.375,4.641588833612782e-06,False,2.2687052494882862,-0.13998987939615043
0.375,9.999999999999999e-06,False,2.268629758700463,-0.13998927906400432
0.375,2.1544346900318823e-05,False,2.2684671456573358,-0.13998798570946447
0.375,4.641588833612772e-05,False,2.2681169314060057,-0.1399851993630434
